obat,kontraindikasi
Omeprazole,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Hindari jika memiliki gangguan hati berat
Simvastatin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Tidak disarankan untuk ibu hamil
Clopidogrel,Hindari jika memiliki gangguan hati berat
Aspirin,Interaksi serius dengan obat pengencer darah
Furosemide,Hindari jika memiliki gangguan hati berat
Losartan,Tidak disarankan untuk ibu hamil
Hydrochlorothiazide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Losartan,Tidak boleh digunakan dengan alkohol
Prednisone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Omeprazole,Tidak boleh digunakan dengan alkohol
Prednisone,Hindari jika memiliki tukak lambung aktif
Metoprolol,Tidak disarankan untuk ibu hamil
Ibuprofen,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Metformin,Hindari jika memiliki alergi terhadap komponen obat
Prednisone,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ibuprofen,Hindari pada pasien dengan gagal ginjal berat
Paracetamol,Hindari jika memiliki tukak lambung aktif
Furosemide,Hindari pada pasien dengan gagal ginjal berat
Diazepam,Hindari jika memiliki gangguan hati berat
Metoprolol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Simvastatin,Hindari jika memiliki gangguan hati berat
Metoprolol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Omeprazole,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Tidak disarankan untuk ibu hamil
Losartan,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Prednisone,Hindari jika memiliki alergi terhadap komponen obat
Prednisone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Omeprazole,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Warfarin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Doxycycline,Hindari jika memiliki gangguan hati berat
Levothyroxine,Tidak disarankan untuk ibu hamil
Prednisone,Hindari pada pasien dengan gagal ginjal berat
Diazepam,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Paracetamol,Interaksi serius dengan obat pengencer darah
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Hydrochlorothiazide,Hindari pada pasien dengan gagal ginjal berat
Dexamethasone,Hindari jika memiliki gangguan hati berat
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ibuprofen,Hindari jika memiliki gangguan hati berat
Metoprolol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Simvastatin,Tidak disarankan untuk ibu hamil
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Omeprazole,Hindari jika memiliki alergi terhadap komponen obat
Simvastatin,Tidak boleh digunakan dengan alkohol
Metoprolol,Tidak boleh digunakan dengan alkohol
Paracetamol,Tidak boleh digunakan dengan alkohol
Cetirizine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Simvastatin,Tidak boleh digunakan dengan alkohol
Clopidogrel,Tidak boleh digunakan dengan alkohol
Cetirizine,Hindari pada pasien dengan gagal ginjal berat
Warfarin,Hindari jika memiliki gangguan hati berat
Dexamethasone,Tidak boleh digunakan dengan alkohol
Metoprolol,Hindari jika memiliki alergi terhadap komponen obat
Ciprofloxacin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Furosemide,Tidak disarankan untuk ibu hamil
Paracetamol,Hindari jika memiliki tukak lambung aktif
Doxycycline,Interaksi serius dengan obat pengencer darah
Metoprolol,Tidak boleh digunakan dengan alkohol
Hydrochlorothiazide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Hindari pada pasien dengan gagal ginjal berat
Clopidogrel,Hindari pada pasien dengan gagal ginjal berat
Ciprofloxacin,Tidak disarankan untuk ibu hamil
Prednisone,Tidak boleh digunakan dengan alkohol
Ciprofloxacin,Interaksi serius dengan obat pengencer darah
Metoprolol,Interaksi serius dengan obat pengencer darah
Cetirizine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Simvastatin,Hindari jika memiliki alergi terhadap komponen obat
Aspirin,Interaksi serius dengan obat pengencer darah
Cetirizine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ciprofloxacin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metoprolol,Interaksi serius dengan obat pengencer darah
Simvastatin,Hindari jika memiliki gangguan hati berat
Doxycycline,Hindari jika memiliki alergi terhadap komponen obat
Aspirin,Hindari jika memiliki gangguan hati berat
Doxycycline,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Dexamethasone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metformin,Hindari jika memiliki tukak lambung aktif
Diazepam,Hindari jika memiliki alergi terhadap komponen obat
Aspirin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metoprolol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Ciprofloxacin,Hindari jika memiliki tukak lambung aktif
Doxycycline,Tidak boleh digunakan dengan alkohol
Omeprazole,Hindari jika memiliki tukak lambung aktif
Paracetamol,Hindari pada pasien dengan gagal ginjal berat
Ciprofloxacin,Tidak disarankan untuk ibu hamil
Furosemide,Hindari pada pasien dengan gagal ginjal berat
Diazepam,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ibuprofen,Tidak disarankan untuk ibu hamil
Ciprofloxacin,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Tidak boleh digunakan dengan alkohol
Furosemide,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Ibuprofen,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Furosemide,Tidak boleh digunakan dengan alkohol
Furosemide,Hindari jika memiliki tukak lambung aktif
Ciprofloxacin,Hindari pada pasien dengan gagal ginjal berat
Metoprolol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Aspirin,Hindari jika memiliki tukak lambung aktif
Omeprazole,Tidak disarankan untuk ibu hamil
Aspirin,Tidak boleh digunakan dengan alkohol
Warfarin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Ibuprofen,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Tidak disarankan untuk ibu hamil
Ibuprofen,Hindari pada pasien dengan gagal ginjal berat
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Dexamethasone,Interaksi serius dengan obat pengencer darah
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Prednisone,Interaksi serius dengan obat pengencer darah
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Ibuprofen,Hindari jika memiliki tukak lambung aktif
Levothyroxine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Cetirizine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ciprofloxacin,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Furosemide,Tidak boleh digunakan dengan alkohol
Diazepam,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Paracetamol,Hindari jika memiliki tukak lambung aktif
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Cetirizine,Interaksi serius dengan obat pengencer darah
Furosemide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Warfarin,Hindari jika memiliki tukak lambung aktif
Metoprolol,Hindari jika memiliki gangguan hati berat
Metformin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Hindari jika memiliki gangguan hati berat
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metformin,Hindari jika memiliki tukak lambung aktif
Warfarin,Hindari jika memiliki gangguan hati berat
Simvastatin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Levothyroxine,Hindari jika memiliki tukak lambung aktif
Amoxicillin,Tidak disarankan untuk ibu hamil
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Losartan,Hindari jika memiliki gangguan hati berat
Losartan,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Simvastatin,Interaksi serius dengan obat pengencer darah
Diazepam,Hindari pada pasien dengan gagal ginjal berat
Warfarin,Hindari jika memiliki tukak lambung aktif
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Aspirin,Tidak boleh digunakan dengan alkohol
Clopidogrel,Tidak disarankan untuk ibu hamil
Levothyroxine,Interaksi serius dengan obat pengencer darah
Prednisone,Tidak boleh digunakan dengan alkohol
Dexamethasone,Interaksi serius dengan obat pengencer darah
Simvastatin,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Tidak disarankan untuk ibu hamil
Hydrochlorothiazide,Tidak boleh digunakan dengan alkohol
Warfarin,Hindari jika memiliki tukak lambung aktif
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Simvastatin,Hindari jika memiliki tukak lambung aktif
Omeprazole,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Interaksi serius dengan obat pengencer darah
Hydrochlorothiazide,Hindari jika memiliki tukak lambung aktif
Cetirizine,Tidak boleh digunakan dengan alkohol
Clopidogrel,Interaksi serius dengan obat pengencer darah
Paracetamol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Levothyroxine,Tidak disarankan untuk ibu hamil
Simvastatin,Interaksi serius dengan obat pengencer darah
Metoprolol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Tidak disarankan untuk ibu hamil
Hydrochlorothiazide,Tidak boleh digunakan dengan alkohol
Paracetamol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Dexamethasone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metoprolol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Hydrochlorothiazide,Hindari pada pasien dengan gagal ginjal berat
Hydrochlorothiazide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Levothyroxine,Tidak boleh digunakan dengan alkohol
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Omeprazole,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Losartan,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Ciprofloxacin,Hindari jika memiliki alergi terhadap komponen obat
Diazepam,Tidak boleh digunakan dengan alkohol
Losartan,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Prednisone,Hindari jika memiliki alergi terhadap komponen obat
Cetirizine,Tidak boleh digunakan dengan alkohol
Hydrochlorothiazide,Hindari jika memiliki gangguan hati berat
Simvastatin,Hindari jika memiliki gangguan hati berat
Prednisone,Hindari jika memiliki gangguan hati berat
Amoxicillin,Hindari jika memiliki gangguan hati berat
Simvastatin,Tidak disarankan untuk ibu hamil
Omeprazole,Tidak disarankan untuk ibu hamil
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Prednisone,Tidak disarankan untuk ibu hamil
Metformin,Interaksi serius dengan obat pengencer darah
Dexamethasone,Hindari pada pasien dengan gagal ginjal berat
Ibuprofen,Interaksi serius dengan obat pengencer darah
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Paracetamol,Tidak boleh digunakan dengan alkohol
Prednisone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ciprofloxacin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metoprolol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Dexamethasone,Hindari jika memiliki tukak lambung aktif
Diazepam,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Dexamethasone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metoprolol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Losartan,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Hindari pada pasien dengan gagal ginjal berat
Hydrochlorothiazide,Hindari jika memiliki gangguan hati berat
Cetirizine,Hindari jika memiliki alergi terhadap komponen obat
Simvastatin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Tidak disarankan untuk ibu hamil
Cetirizine,Hindari jika memiliki tukak lambung aktif
Doxycycline,Interaksi serius dengan obat pengencer darah
Omeprazole,Interaksi serius dengan obat pengencer darah
Aspirin,Tidak disarankan untuk ibu hamil
Clopidogrel,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Hydrochlorothiazide,Hindari pada pasien dengan gagal ginjal berat
Cetirizine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Levothyroxine,Tidak disarankan untuk ibu hamil
Hydrochlorothiazide,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Hindari jika memiliki gangguan hati berat
Ciprofloxacin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Diazepam,Hindari jika memiliki tukak lambung aktif
Furosemide,Hindari jika memiliki gangguan hati berat
Paracetamol,Hindari jika memiliki alergi terhadap komponen obat
Ibuprofen,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Hindari pada pasien dengan gagal ginjal berat
Warfarin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Dexamethasone,Hindari jika memiliki gangguan hati berat
Paracetamol,Hindari jika memiliki gangguan hati berat
Levothyroxine,Interaksi serius dengan obat pengencer darah
Prednisone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metformin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Doxycycline,Tidak boleh digunakan dengan alkohol
Dexamethasone,Hindari jika memiliki gangguan hati berat
Simvastatin,Interaksi serius dengan obat pengencer darah
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Losartan,Tidak disarankan untuk ibu hamil
Prednisone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Tidak disarankan untuk ibu hamil
Dexamethasone,Hindari pada pasien dengan gagal ginjal berat
Prednisone,Tidak boleh digunakan dengan alkohol
Clopidogrel,Tidak boleh digunakan dengan alkohol
Furosemide,Hindari jika memiliki alergi terhadap komponen obat
Cetirizine,Hindari pada pasien dengan gagal ginjal berat
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Doxycycline,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Hindari jika memiliki alergi terhadap komponen obat
Furosemide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Losartan,Interaksi serius dengan obat pengencer darah
Cetirizine,Tidak boleh digunakan dengan alkohol
Prednisone,Hindari jika memiliki gangguan hati berat
Levothyroxine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Simvastatin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Prednisone,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Prednisone,Hindari jika memiliki gangguan hati berat
Warfarin,Tidak boleh digunakan dengan alkohol
Ibuprofen,Interaksi serius dengan obat pengencer darah
Paracetamol,Hindari jika memiliki gangguan hati berat
Ibuprofen,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Hindari jika memiliki tukak lambung aktif
Losartan,Tidak boleh digunakan dengan alkohol
Paracetamol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Doxycycline,Hindari jika memiliki tukak lambung aktif
Ciprofloxacin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Dexamethasone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Cetirizine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Interaksi serius dengan obat pengencer darah
Metoprolol,Interaksi serius dengan obat pengencer darah
Hydrochlorothiazide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ibuprofen,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metformin,Hindari jika memiliki tukak lambung aktif
Clopidogrel,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Omeprazole,Hindari jika memiliki gangguan hati berat
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ciprofloxacin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Clopidogrel,Hindari jika memiliki gangguan hati berat
Dexamethasone,Tidak boleh digunakan dengan alkohol
Hydrochlorothiazide,Tidak disarankan untuk ibu hamil
Losartan,Interaksi serius dengan obat pengencer darah
Ciprofloxacin,Hindari jika memiliki tukak lambung aktif
Levothyroxine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Simvastatin,Hindari pada pasien dengan gagal ginjal berat
Clopidogrel,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Losartan,Hindari pada pasien dengan gagal ginjal berat
Warfarin,Tidak boleh digunakan dengan alkohol
Doxycycline,Tidak boleh digunakan dengan alkohol
Metoprolol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Doxycycline,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Ciprofloxacin,Hindari jika memiliki tukak lambung aktif
Clopidogrel,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Aspirin,Tidak disarankan untuk ibu hamil
Ciprofloxacin,Interaksi serius dengan obat pengencer darah
Warfarin,Hindari jika memiliki tukak lambung aktif
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Interaksi serius dengan obat pengencer darah
Losartan,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metoprolol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Cetirizine,Tidak boleh digunakan dengan alkohol
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Hindari jika memiliki tukak lambung aktif
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Prednisone,Tidak boleh digunakan dengan alkohol
Ciprofloxacin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ibuprofen,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Paracetamol,Hindari jika memiliki gangguan hati berat
Metformin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Prednisone,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Hindari pada pasien dengan gagal ginjal berat
Aspirin,Tidak boleh digunakan dengan alkohol
Ciprofloxacin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ibuprofen,Hindari jika memiliki gangguan hati berat
Metformin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Dexamethasone,Interaksi serius dengan obat pengencer darah
Paracetamol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Clopidogrel,Tidak boleh digunakan dengan alkohol
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
